Id,Id2,Geography,Population,White alone,Black or African American alone,American Indian and Alaska Native alone,Asian alone,Native Hawaiian and Other Pacific Islander alone,Some other race alone,Two or more races:
0100000US,,United States,318857056,233963128,40379066,2601714,16686960,557154,15063263,9605771
0400000US01,1,Alabama,4849377,3320273,1291826,22553,58456,1446,69859,84964
0400000US02,2,Alaska,736732,483584,24790,103273,43915,8395,9967,62808
0400000US04,4,Arizona,6731484,5273335,280518,294757,212116,12721,433934,224103
0400000US05,5,Arkansas,2966369,2322472,468231,17091,36555,7148,50385,64487
0400000US06,6,California,38802500,23814044,2259681,286631,5398090,150072,5114193,1779789
0400000US08,8,Colorado,5355866,4520381,215446,55784,157958,6679,215290,184328
0400000US09,9,Connecticut,3596677,2763949,371857,7085,151402,1019,197532,103833
0400000US10,10,Delaware,935614,647533,203326,3284,36172,216,20966,24117
0400000US11,11,District of Columbia,658893,265077,321346,1859,24910,172,28798,16731
0400000US12,12,Florida,19893297,15113860,3221160,53014,524583,15149,489726,475805
0400000US13,13,Georgia,10097343,6043917,3163620,25301,371688,6638,282876,203303
0400000US15,15,Hawaii,1419561,360711,30729,2191,534189,147612,13830,330299
0400000US16,16,Idaho,1634464,1498107,11354,21550,24009,1984,36664,40796
0400000US17,17,Illinois,12880580,9290445,1837715,27995,663454,5825,763579,291567
0400000US18,18,Indiana,6596855,5547390,612890,13063,130250,3216,143931,146115
0400000US19,19,Iowa,3107126,2837758,97874,9617,68419,2576,30497,60385
0400000US20,20,Kansas,2904021,2466138,171976,24500,76245,2471,63129,99562
0400000US21,21,Kentucky,4413457,3858261,350141,10526,54542,2650,43094,94243
0400000US22,22,Louisiana,4649676,2919142,1502184,26009,78675,2816,42238,78612
0400000US23,23,Maine,1330089,1260278,16557,8322,14447,36,2947,27502
0400000US24,24,Maryland,5976407,3432582,1774618,14657,369996,2086,209461,173007
0400000US25,25,Massachusetts,6745408,5347420,477527,15599,413079,1329,279928,210526
0400000US26,26,Michigan,9909877,7816586,1375194,55729,281404,2260,121859,256845
0400000US27,27,Minnesota,5457173,4606959,312432,56934,250352,2392,85069,143035
0400000US28,28,Mississippi,2994079,1761195,1132556,12252,24009,458,25266,38343
0400000US29,29,Missouri,6063589,4990271,711601,26387,107426,3763,73680,150461
0400000US30,30,Montana,1023579,914571,5812,70035,8176,276,2856,21853
0400000US31,31,Nebraska,1881503,1660976,88620,17959,38892,1056,30095,43905
0400000US32,32,Nevada,2839099,1931264,242994,30503,221841,18553,268796,125148
0400000US33,33,New Hampshire,1326813,1239410,17009,2339,33974,437,6252,27392
0400000US34,34,New Jersey,8938175,6053656,1212054,15270,827493,2595,621199,205908
0400000US35,35,New Mexico,2085572,1525459,41277,198450,31566,592,224820,63408
0400000US36,36,New York,19746227,12634312,3093476,81512,1613255,4574,1746680,572418
0400000US37,37,North Carolina,9943964,6869207,2154387,111276,246721,5768,322251,234354
0400000US38,38,North Dakota,739482,654375,14910,39669,8899,173,4680,16776
0400000US39,39,Ohio,11594163,9522264,1419214,22761,225438,3223,103388,297875
0400000US40,40,Oklahoma,3878051,2827481,287254,289732,76654,4995,93987,297948
0400000US41,41,Oregon,3970239,3358250,71042,46761,159891,14113,141502,178680
0400000US42,42,Pennsylvania,12787209,10408847,1416865,27367,399285,4197,241491,289157
0400000US44,44,Rhode Island,1055173,858236,70600,5579,35676,385,57362,27335
0400000US45,45,South Carolina,4832482,3254145,1320373,14155,68976,2959,69517,102357
0400000US46,46,South Dakota,853175,724768,14830,71811,11017,442,6774,23533
0400000US47,47,Tennessee,6549352,5084404,1105318,17139,102508,3409,99109,137465
0400000US48,48,Texas,26956958,20265860,3234898,121708,1161951,20055,1488773,663713
0400000US49,49,Utah,2942902,2568018,33520,32874,66060,25425,138510,78495
0400000US50,50,Vermont,626562,591853,6164,2513,9933,365,2872,12862
0400000US51,51,Virginia,8326289,5739681,1601449,21233,510871,4553,174873,273629
0400000US53,53,Washington,7061530,5484997,251336,95613,554101,45359,247151,382973
0400000US54,54,West Virginia,1850326,1731464,68279,3716,11642,300,4172,30753
0400000US55,55,Wisconsin,5757564,4966282,363916,50703,150258,1384,105647,119374
0400000US56,56,Wyoming,584153,531680,6320,15073,5541,837,11808,12894
0400000US72,72,Puerto Rico,3548397,2520447,299398,10710,8810,495,481724,226813
