Agency,State,Months,Population,Violent crime total,Murder and nonnegligent Manslaughter,Legacy rape /1,Revised rape /2,Robbery,Aggravated assault
Adelanto Police Dept,CA,12,31165,198,2,15,,52,129
Agoura Hills,CA,12,20762,19,0,2,,10,7
Alameda County Sheriff Department,CA,12,,648,5,21,,194,428
Alameda Police Dept,CA,12,76206,158,0,10,,85,63
Albany Police Dept,CA,12,19104,29,0,1,,24,4
Alhambra Police Dept,CA,12,84710,163,1,9,,81,72
Aliso Viejo,CA,12,50005,25,0,2,,4,19
American Canyon,CA,12,20068,54,0,4,,31,19
Anaheim Police Dept,CA,12,345320,1130,11,82,,437,600
Anderson Police Dept,CA,12,10098,63,0,8,,9,46
Antioch Police Dept,CA,12,106447,946,12,25,,352,557
Apple Valley,CA,12,71159,185,3,12,,58,112
Arcadia Police Dept,CA,12,57855,77,0,1,,37,39
Arcata Police Dept,CA,12,17805,67,3,7,,15,42
Arroyo Grande Police Dept,CA,12,17634,31,0,5,,4,22
Artesia,CA,12,16734,63,2,0,,28,33
Arvin Police Dept,CA,12,20390,153,2,1,,16,134
Atascadero Police Dept,CA,12,28938,97,1,12,,24,60
Atwater Police Dept,CA,12,28906,182,1,7,,22,152
Auburn Police Dept,CA,12,13779,49,0,2,,13,34
Avenal,CA,12,14712,62,0,4,,6,52
Azusa Police Dept,CA,12,47754,246,2,4,,36,204
Bakersfield Police Dept,CA,12,361859,1857,24,43,,708,1082
Baldwin Park Police Dept,CA,12,76745,220,5,6,,74,135
Banning Police Dept,CA,12,30503,129,2,9,,26,92
Barstow Police Dept,CA,12,23144,229,3,13,,45,168
Beaumont Police Dept,CA,12,40208,85,1,8,,20,56
Bell Police Dept,CA,12,35928,208,0,10,,81,117
Bell Gardens Police Dept,CA,12,42980,120,1,3,,56,60
Bellflower,CA,12,77594,279,1,9,,105,164
Belmont Police Dept,CA,12,26697,27,1,5,,4,17
Benicia Police Dept,CA,12,27558,30,0,4,,8,18
Berkeley Police Dept,CA,12,116217,562,4,26,,410,122
Beverly Hills Police Dept,CA,12,34780,77,0,5,,29,43
Blythe Police Dept,CA,12,20629,65,1,4,,20,40
Brawley Police Dept,CA,12,25753,61,0,5,,7,49
Brea Police Dept,CA,12,40600,64,2,4,,22,36
Brentwood Police Dept,CA,12,54301,89,0,11,,20,58
Buena Park Police Dept,CA,12,82632,221,2,13,,80,126
Burbank Police Dept,CA,12,104727,171,0,13,,51,107
Burlingame Police Dept,CA,12,29936,37,0,2,,12,23
Butte County Sheriff Department,CA,12,,96,7,10,,17,62
Calabasas,CA,12,24114,20,0,3,,6,11
Calaveras County Sheriff Department,CA,12,,121,5,20,,10,86
Calexico Police Dept,CA,12,39527,92,0,0,,27,65
California City Police Dept,CA,12,13339,87,0,4,,9,74
Camarillo,CA,12,66173,73,0,6,,25,42
Campbell Police Dept,CA,12,40549,106,2,12,,24,68
Canyon Lake,CA,12,10944,3,0,0,,0,3
Capitola Police Dept,CA,12,10038,38,1,3,,4,30
Carslbad Police Dept,CA,12,110505,221,1,23,,44,153
Carpinteria,CA,12,13287,21,0,3,,4,14
Carson,CA,12,93415,400,3,15,,148,234
Cathedral City Police Dept,CA,12,53064,149,4,9,,44,92
Central Marin,CA,12,34105,41,0,5,,12,24
Ceres Dept Of Public Safety,CA,12,45876,133,1,9,,41,82
Cerritos,CA,12,49816,82,0,4,,42,36
Chico Police Dept,CA,12,88226,299,2,41,,95,161
